site_id,survey_date,pit_tag_id,capture_life_stage,capture_animal_state
72808,2015-06-08,900043000108197,adult,healthy
72808,2015-06-08,900043000108328,adult,healthy
72808,2015-06-08,900043000108119,adult,healthy
72808,2015-06-08,900043000108128,adult,healthy
72808,2015-06-08,900043000108335,adult,healthy
72808,2015-06-08,900043000108348,adult,healthy
72808,2015-06-08,900043000108349,adult,healthy
72808,2015-06-08,900043000108365,adult,healthy
72808,2015-06-08,900043000108371,adult,healthy
72808,2015-06-08,900043000108372,adult,healthy
72808,2015-06-08,900043000108379,adult,healthy
72808,2015-06-08,900043000108396,adult,healthy
72808,2015-06-08,900043000108398,adult,healthy
72808,2015-06-08,900043000108400,adult,healthy
72808,2015-06-08,900043000108118,adult,healthy
72808,2015-06-08,98869533,adult,healthy
72808,2015-06-08,900043000108310,adult,healthy
72808,2015-06-08,900043000108133,adult,healthy
72808,2015-06-08,900043000108150,adult,healthy
72808,2015-06-08,80051281,adult,healthy
72808,2015-06-08,900043000108149,adult,healthy
72808,2015-06-08,900043000108195,adult,healthy
72808,2015-06-08,900043000108190,adult,healthy
72808,2015-06-08,900043000108312,adult,healthy
72808,2015-06-08,900043000108315,adult,healthy
72808,2015-06-08,900043000108319,adult,healthy
72808,2015-06-08,900043000108105,adult,healthy
72808,2015-06-08,900043000108163,adult,healthy
72808,2015-06-08,900043000108178,adult,healthy
72808,2015-06-08,900043000108179,adult,healthy
72808,2015-06-08,900043000108181,adult,healthy
72808,2015-06-08,900043000108186,adult,healthy
72808,2015-06-11,900043000108135,adult,healthy
72808,2015-06-11,900043000108137,adult,healthy
72808,2015-06-11,900043000108148,adult,healthy
72808,2015-06-11,900043000108152,adult,healthy
72808,2015-06-11,900043000108155,adult,healthy
72808,2015-06-11,900043000108180,adult,healthy
72808,2015-06-11,900043000108194,adult,healthy
72808,2015-06-11,900043000108196,adult,healthy
72808,2015-06-11,900043000108306,adult,healthy
72808,2015-06-11,900043000108309,adult,healthy
72808,2015-06-11,62539515,adult,healthy
72808,2015-06-11,80047847,adult,healthy
72808,2015-06-11,900043000108103,adult,healthy
72808,2015-06-11,98850290,adult,healthy
72808,2015-06-11,900043000108104,adult,healthy
72808,2015-06-11,900043000108107,adult,healthy
72808,2015-06-11,900043000108335,adult,healthy
72808,2015-06-11,900043000108112,adult,healthy
72808,2015-06-11,900043000108115,adult,healthy
72808,2015-06-11,900043000108116,adult,healthy
72808,2015-06-11,900043000108120,adult,healthy
72808,2015-06-11,900043000108129,adult,healthy
72808,2015-06-11,900043000108343,adult,healthy
72808,2015-06-11,900043000108354,adult,healthy
72808,2015-06-11,91560348,adult,healthy
72808,2015-06-12,900043000108398,adult,healthy
72808,2015-06-12,98800806,adult,healthy
72808,2015-06-12,98850290,adult,healthy
72808,2015-06-12,99090527,adult,healthy
72808,2015-06-12,900043000108369,adult,healthy
72808,2015-06-12,900043000108310,adult,healthy
72808,2015-06-12,900043000108322,adult,healthy
