"swab_id","pit_tag_id","treatment","release_date","swabbing_date","pit_tag_status","frog_sex","frog_state","frog_location","frog_weight","frog_svl","swabber_name","frog_comments","quant_cycle","start_quant","standard_type","load"
"RKS16752","900043000104512","exposed",2014-06-28,2014-06-23,"Y","F","Healthy","in lake",11,46,"Kauffman","Treated, for translocation to 70449.",35.72,0.09,"genomic",432
"RKS16755","900043000104531","exposed",2014-06-28,2014-06-23,"Y","F","Healthy","in lake",13,51,"Kauffman","Treated, for translocation to 70449",26.4,51.65,"genomic",247920
"RKS16756","900043000104540","exposed",2014-06-28,2014-06-23,"Y","M","Healthy","in lake",12,44,"Kauffman","Treated, for translocation to 70449",28.51,12.33,"genomic",59184
"RKS16757","900043000104552","exposed",2014-06-28,2014-06-23,"Y","M","Healthy","in lake",10,42,"Kauffman","Treated, for translocation to 70449",34.27,0.25,"genomic",1200
"RKS16759","900043000104522","exposed",2014-06-28,2014-06-23,"Y","M","Healthy","in lake",10,44,"Kauffman","Treated, for translocation to 70449",36.12,0.07,"genomic",336
"RKS16760","900043000104588","exposed",2014-06-28,2014-06-23,"Y","F","Healthy","in lake",10,40,"Kauffman","Treated, for translocation to 70449",28.55,12.03,"genomic",57744
"RKS16761","900043000104574","exposed",2014-06-28,2014-06-23,"Y","F","Healthy","in lake",11,45,"Kauffman","Treated, for translocation to 70449",31.44,1.68,"genomic",8064
"RKS16762","900043000104571","exposed",2014-06-28,2014-06-23,"Y","F","Healthy","in lake",13,48,"Kauffman","Treated, for translocation to 70449",27.37,26.74,"genomic",128352
"RKS16763","900043000104536","exposed",2014-06-28,2014-06-23,"Y","M","Healthy","in lake",13,49,"Kauffman","Treated, for translocation to 70449",33.52,0.41,"genomic",1968
"RKS16764","900043000104572","exposed",2014-06-28,2014-06-23,"Y","F","Healthy","in lake",11,47,"Knapp","Treated, for translocation to 70449 ",27.52,24.17,"genomic",116016
"RKS16766","900043000104590","exposed",2014-06-28,2014-06-23,"Y","F","Healthy","in lake",10,48,"Knapp","Treated, for translocation to 70449 ",31.67,1.44,"genomic",6912
